name,deltaG,SMILES
pubchem_24,-10.31,CCc1ccc(OCC(=O)Nc2cccc(-c3nncn3CC)c2)cc1
pubchem_298,-10.31,Cc1ccc2oc(=O)n(Cc3nc(CCc4ccccc4)n[nH]3)c2c1
pubchem_486,-10.31,COc1ccccc1CNC(=O)c1nc(CC(=O)Nc2ccccc2)no1
pubchem_638,-10.31,CC(=O)Nc1ccc(OCc2noc(C(=O)NCc3ccccc3)n2)cc1
pubchem_1882,-10.31,COc1ccccc1Cc1nc(-c2ccc(N3CCCC3=O)cc2)n[nH]1
pubchem_1963,-10.31,Cc1nc(-c2ccc(NC(=O)COc3ccccc3Cc3ccccc3)cc2)n[nH]1
pubchem_2079,-10.31,Cn1nc(COc2cccc(F)c2)nc1-c1cccc(N2CCNC2=O)c1
pubchem_917,-10.3,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccccc3)n2CC)cc1
pubchem_63,-10.29,COc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)c1
pubchem_130,-10.29,Cc1ccccc1NC(=O)CSc1n[nH]c(COc2ccccc2C)n1
pubchem_284,-10.29,CC(=O)Nc1ccccc1OCc1noc(C(=O)NCCc2ccc(O)cc2)n1
pubchem_671,-10.29,CCc1ccc(OCc2nnc(SCC(=O)Nc3cccc(C)c3)n2C)cc1
pubchem_985,-10.29,C/N=C(/NCCCN1C(=O)COc2ccccc21)N1CCC(c2ncn[nH]2)CC1
pubchem_1149,-10.29,COc1ccccc1-n1nc(CCc2ccccc2)nc1CNC(C)=O
pubchem_1224,-10.29,COc1ccccc1NC(=O)CSc1nnc(CC2CCCCC2)n1C
pubchem_489,-10.28,Cc1ccc(-n2nnnc2CNC(=O)COc2cccc(C)c2)cc1
pubchem_1010,-10.28,COc1ccccc1CNC(=O)CCCCc1nncn1-c1ccccc1
pubchem_1049,-10.28,Cc1cccc(OCCNC(=O)CNc2ccc(-c3nnnn3C3CC3)cc2)c1
pubchem_1230,-10.28,CC(=O)Nc1ccc(OCc2noc(C(=O)NCCc3ccccc3)n2)cc1
pubchem_1262,-10.28,O=C(COc1ccccc1F)Nc1cccc(-c2n[nH]c(C3CC3)n2)c1
pubchem_1273,-10.28,COc1ccc(C)cc1NC(=O)NCc1nncn1C1CCCCC1
pubchem_2056,-10.28,Cc1ccccc1OCC(=O)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_286,-10.27,Cc1cccc(OCC(=O)NCc2nncn2-c2ccccc2)c1C
pubchem_430,-10.27,COc1ccccc1-n1ccn2c(SCc3ccccc3)nnc2c1=O
pubchem_582,-10.27,Cc1cc(C)cc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c1
pubchem_2078,-10.27,C#CCOc1ccccc1CN(C)C(=O)NCc1nncn1-c1ccccc1
pubchem_4,-10.26,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccc(C)cc3)n2C)cc1
pubchem_9,-10.26,CCn1c(COc2ccc(C)cc2)nnc1SCC(=O)Nc1cccc(C)c1
pubchem_524,-10.26,COc1ccc(C)cc1NC(=O)CSc1n[nH]c(COc2ccccc2C)n1
pubchem_1103,-10.26,CCOc1ccccc1C(=O)NCC(=O)Nc1ccccc1-c1n[nH]c(CC)n1
pubchem_1307,-10.26,COc1cccc(C)c1NC(=O)CCc1nnc(CCC(C)C)n1C1CC1
pubchem_1900,-10.26,Cc1cccc(OCc2nnc(SCC(=O)Nc3ccccc3)n2C)c1
pubchem_2030,-10.26,O=C(CN1C(=O)COc2ccccc21)NCc1ccc(Cn2cncn2)cc1
pubchem_2061,-10.26,Cc1ccc(C)c(OCC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)c1
pubchem_20,-10.25,Cc1ccc(OCc2nc(SCC(=O)Nc3cccc(C)c3)n[nH]2)cc1
pubchem_374,-10.25,Cc1cc(C)cc(OCC(=O)NCc2nncn2-c2ccccc2)c1
pubchem_912,-10.25,Cc1ccccc1OCc1nc(SCC(=O)Nc2ccc(CC#N)cc2)n[nH]1
pubchem_1244,-10.25,Cc1ccc(OCC(=O)NCc2nncn2-c2ccccc2)c(C)c1
pubchem_1967,-10.25,Cc1ccc2c(c1)N(Cc1nc(CCc3ccccc3)n[nH]1)C(=O)CO2
pubchem_2011,-10.25,COc1ccc(C)cc1NC(=O)CNc1cccc(-c2nnnn2C)c1
pubchem_376,-10.24,CCOc1ccc(-c2noc(CN(C)CC(=O)Nc3ccccc3CC)n2)cc1
pubchem_467,-10.24,CC(C)c1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)cc1
pubchem_555,-10.24,CCOc1ccc(C#N)cc1NCc1nc(Cc2ccccc2)no1
pubchem_575,-10.24,Cc1cccc(OCCNC(=O)c2nc(C)n(-c3ccc(Cl)cc3)n2)c1
pubchem_801,-10.24,CCOc1ccccc1NC(=O)CSc1nnc(Cc2ccccc2)n1C
pubchem_859,-10.24,CCc1ccc(NC(=O)CSc2nnc(COc3ccc(C)cc3)n2C)cc1
pubchem_1259,-10.24,CCCCOc1ccc(NC(=O)c2nc(C)n(-c3ccc(F)cc3)n2)c(C)c1
pubchem_1357,-10.24,CCOc1ccc(-n2nc(C(=O)Nc3cccc(C)c3)nc2-c2ccccc2)cc1
pubchem_1920,-10.24,COc1ccccc1NC(=O)CSc1nnc(CCc2ccccc2)n1C
pubchem_177,-10.23,O=C(COc1ccccc1-c1ncn[nH]1)N1CCc2ccccc21
pubchem_203,-10.23,CCCN(CC(=O)Nc1ccccc1OC)Cc1nnnn1-c1ccccc1
pubchem_1414,-10.23,Cc1cccc(NC(=O)c2n[nH]c(C(=O)Oc3cccc(C)c3)n2)c1
pubchem_1555,-10.23,COc1ccccc1NCc1nc(-c2ccc(C(C)C)cc2)no1
pubchem_1932,-10.23,O=C(COc1ccccc1CNCc1nncn1-c1ccccc1)N1CCCC1
pubchem_708,-10.22,CCOc1ccc(-n2ccn3c(CCCC(=O)NCC(C)C)nnc3c2=O)cc1
pubchem_854,-10.22,COc1ccc(C)cc1NC(=O)CSc1nnc(Cc2ccccc2)n1C
pubchem_1470,-10.22,CC(C)c1cccc(NC(=O)COc2ccccc2-c2ncn[nH]2)c1
pubchem_34,-10.21,c1ccc(Cc2noc(CN3CCOc4ccccc43)n2)cc1
pubchem_584,-10.21,Cc1ccc(OCc2nc(SCC(=O)Nc3ccccc3C)n[nH]2)cc1
pubchem_642,-10.21,COc1ccc(-n2nnnc2CNC(=O)COc2ccccc2C)cc1
pubchem_732,-10.21,CCOc1ccc(NC(=O)Cn2nc(-c3ccccc3)nc2-c2ccccc2)cc1
pubchem_765,-10.21,CC(=O)Nc1ccc(OCc2noc(C(=O)NCc3cccc(F)c3)n2)cc1
pubchem_891,-10.21,COc1ccc(CNC(=O)c2nc(COc3ccccc3NC(C)=O)no2)cc1
pubchem_1187,-10.21,Cc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3F)n2)c1
pubchem_87,-10.2,CCc1nc(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n[nH]1
pubchem_204,-10.2,Cc1ccc(OCC(=O)NCc2nnnn2-c2ccc(F)cc2)cc1
pubchem_207,-10.2,Cc1cccc(OCC(=O)NCc2nnnn2-c2ccccc2)c1
pubchem_799,-10.2,CCN(c1ccc(C(=O)NCc2nc(-c3ccc(OC)cc3)n[nH]2)cc1)C(C)C
pubchem_873,-10.2,Cc1cccc(NC(=O)CSc2n[nH]c(COc3cccc(C)c3)n2)c1
pubchem_889,-10.2,Cc1ccc(OCC(=O)NCc2nnnn2-c2ccccc2)cc1
pubchem_905,-10.2,C=CCn1c(SCC(=O)Nc2ccccc2OCC)nnc1-c1ccccc1
pubchem_1711,-10.2,Cc1ccc(OCCN(C)C(=O)c2nc(C)n(-c3ccccc3Cl)n2)cc1
pubchem_1760,-10.2,CCOc1ccccc1NC(=O)Cn1nc2cc(-c3nc(C)no3)ccn2c1=O
pubchem_2023,-10.2,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C1=Cc2ccccc2OC1
pubchem_2027,-10.2,COCc1nnc(SCC(=O)NCc2ccccc2OC)n1-c1ccccc1
pubchem_2102,-10.2,CCOc1ccc(-n2nc(C(=O)Nc3ccc(C)cc3)nc2-c2ccccc2)cc1
pubchem_262,-10.19,CCOc1ccccc1-c1noc(CN2CCN(c3ccccc3OC)CC2)n1
pubchem_281,-10.19,COc1ccccc1N1CCN(C(=O)c2ncn(-c3cccc(C)c3)n2)CC1
pubchem_1560,-10.19,COc1ccc(N2CCN(C(=O)Cc3n[nH]c(C)n3)CC2)cc1OC1CCC1
pubchem_1965,-10.19,CC(C)Oc1cccc(CNC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)c1
pubchem_2041,-10.19,Cc1ccccc1OCC(=O)NCc1nnnn1-c1cccc(F)c1
pubchem_126,-10.18,CCOc1ccccc1NC(=O)CSc1nnc(C)n1C1CCCCC1
pubchem_495,-10.18,COc1cccc(NC(=O)NCCc2n[nH]c(Cc3ccc(C)cc3)n2)c1
pubchem_511,-10.18,COc1cccc(CN(C)C(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)c1
pubchem_762,-10.18,Cc1ccc(Oc2ccccc2NC(=O)CSc2n[nH]c(C(C)(C)C)n2)cc1
pubchem_2069,-10.18,CC(C)(C)c1ccc(-c2n[nH]c(COc3ccccc3N)n2)cc1
pubchem_132,-10.17,CC(=O)Nc1ccc(OCc2nnc(N)n2-c2ccc(C)cc2)cc1
pubchem_361,-10.17,CCCCOc1cccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)n[nH]2)c1
pubchem_571,-10.17,CCOc1ccccc1NC(=O)Cn1nnc(-c2ccc(CC)cc2)n1
pubchem_585,-10.17,O=C(COc1ccccc1)NCc1nnc2n1-c1ccccc1CC2
pubchem_626,-10.17,Cc1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)cc1
pubchem_670,-10.17,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccccc3)n2C)cc1
pubchem_860,-10.17,CCn1c(COc2ccc(C)cc2)nnc1SCC(=O)Nc1ccc(C)cc1
pubchem_1660,-10.17,CCn1cnnc1-c1cccc(NC(=O)CCOc2ccccc2F)c1
pubchem_1904,-10.17,COc1ccccc1-n1c(C)nnc1SCC(=O)NCc1ccccc1
pubchem_1941,-10.17,Cc1ccc(C)c(OCc2nc(CC(=O)NCc3ccccc3)n[nH]2)c1
pubchem_2,-10.16,CCOc1ccc(NC(=O)CSc2nnc(Cc3ccccc3)n2CC)cc1
pubchem_85,-10.16,COc1ccc(-n2nnnc2CNC(=O)COc2cccc(C)c2)cc1
pubchem_515,-10.16,CCn1c(SCC(=O)Nc2ccccc2OC)nnc1C1CCCCC1
pubchem_1006,-10.16,Cn1c(COc2ccccc2C(=O)Nc2ccccc2)nnc1C1CCC1
pubchem_1236,-10.16,Cc1ccc(OCC(=O)NCc2nnnn2-c2cccc(F)c2)cc1
pubchem_1574,-10.16,Cc1ccc(NC(=O)COc2ccccc2-c2ncn[nH]2)cc1C
pubchem_1936,-10.16,Cc1ccc(-n2nnnc2CNC(=O)COc2ccccc2)cc1
pubchem_79,-10.15,COc1cccc(NC(=O)CSc2n[nH]c(COc3ccc(C)cc3)n2)c1
pubchem_391,-10.15,CCOc1ccc(NC(=O)CSc2nnc(Cc3ccccc3)n2C)cc1
pubchem_565,-10.15,C=CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1ccc(C)cc1
pubchem_606,-10.15,COc1ccc(Cl)cc1NCCC(=O)Nc1cccc(-c2n[nH]c(C)n2)c1
pubchem_907,-10.15,CCOc1ccc(NC(=O)CSc2n[nH]c(Cc3ccccc3)n2)cc1
pubchem_926,-10.15,Cc1cc(C)c(OCC(=O)NCc2nncn2-c2ccccc2)c(C)c1
pubchem_35,-10.14,COCCOc1ccccc1NCc1nc(-c2ccc([N+](=O)[O-])cc2)no1
pubchem_86,-10.14,Cc1ccc(-n2nnnc2CNC(=O)COc2ccc(F)cc2)cc1
pubchem_114,-10.14,CCOc1cccc(NC(=O)c2nc(C)n(-c3ccccc3C(C)C)n2)c1
pubchem_211,-10.14,COc1ccc(NC(=O)NCCc2n[nH]c(Cc3cccc(C)c3)n2)cc1
pubchem_297,-10.14,COc1ccc(CCNC(=O)c2nc(C)n(-c3ccccc3C(C)C)n2)cc1
pubchem_315,-10.14,Cc1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)cc1F
pubchem_443,-10.14,Cc1cccc(C)c1OCC(=O)Nc1cccc(-c2ncn[nH]2)c1
pubchem_469,-10.14,CCc1ccccc1NC(=O)CSc1n[nH]c(COc2cccc(C)c2)n1
pubchem_473,-10.14,CCc1ccc(OCc2nc(SCC(=O)Nc3cc(C)cc(C)c3)n[nH]2)cc1
pubchem_1746,-10.14,CCN(C(=O)CSc1n[nH]c(COc2ccccc2F)n1)c1ccccc1
pubchem_2014,-10.14,CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1ccccc1OC
pubchem_50,-10.13,CC(C)c1ccccc1NC(=O)CSc1nnc(COc2ccccc2)n1N
pubchem_57,-10.13,CCOc1ccccc1NC(=O)CSc1nnc(-c2cccc(C)c2)n1CC
pubchem_198,-10.13,Cc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c1
pubchem_549,-10.13,COc1ccc(NCc2nc(CC(=O)NCCc3ccccc3)n[nH]2)cc1
pubchem_676,-10.13,CCCCCCOc1ccccc1NC(=O)Cn1nnc(-c2ccccc2)n1
pubchem_733,-10.13,CCn1c(COc2ccccc2C)nnc1SCC(=O)Nc1ccccc1
pubchem_996,-10.13,COc1ccc(-n2nc(C(=O)NC3CCCCC3)nc2-c2ccccc2)cc1
pubchem_1110,-10.13,COc1ccc(F)cc1NC(=O)Nc1ccc(Cc2nnc3n2CCC3)cc1
pubchem_1228,-10.13,CCc1ccc(OCc2nc(SCC(=O)Nc3cccc(OC)c3)n[nH]2)cc1
pubchem_2103,-10.13,COc1ccccc1NC(=O)c1nc(-c2ccc(C)cc2)n(-c2ccccc2)n1
pubchem_156,-10.12,COc1ccc(NC(=O)c2nc(Cc3ccccc3)n(-c3ccccc3)n2)cc1
pubchem_658,-10.12,CCOc1ccc(CC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)cc1
pubchem_872,-10.12,Cc1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c(C)c1
pubchem_2050,-10.12,COc1ccc(NC(=O)NCCc2n[nH]c(Cc3ccc(C)cc3)n2)cc1
pubchem_38,-10.11,O=C(CCCOc1ccccc1)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_110,-10.11,CCCOc1ccc(NC(=O)c2nc(C)n(-c3ccc(F)cc3)n2)c(C)c1
pubchem_367,-10.11,Cc1cccc(OCC(=O)NCc2nnnn2-c2ccc(F)cc2)c1
pubchem_369,-10.11,Cc1ccc(-n2nnnc2CNC(=O)COc2ccccc2F)cc1
pubchem_390,-10.11,COc1ccccc1NC(=O)CSc1nnc(C)n1Cc1ccccc1
pubchem_648,-10.11,COCCOc1ccccc1NCc1nc(-c2cccc([N+](=O)[O-])c2)no1
pubchem_697,-10.11,COc1ccccc1N1CCN(C(=O)c2ncn(-c3ccccc3C)n2)CC1
pubchem_756,-10.11,Cc1cccc(OCc2nc(SCC(=O)Nc3cc(F)ccc3C)n[nH]2)c1
pubchem_825,-10.11,Cc1ccccc1OCCN(C)C(=O)c1nc(C)n(-c2ccc(F)cc2)n1
pubchem_975,-10.11,COc1ccccc1NC(=O)COc1cccc(-c2nnc3n2CCCC3)c1
pubchem_1884,-10.11,Cc1ccccc1-c1nnc(C)n1-c1ccc(OCC(=O)NC2CCCC2)cc1
pubchem_44,-10.1,O=C(NCc1nnc2n1CCC2)Nc1ccccc1COc1ccccc1
pubchem_138,-10.1,C=CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1ccccc1C
pubchem_250,-10.1,COc1ccc(C)cc1NC(=O)CSc1n[nH]c(Cc2ccccc2)n1
pubchem_485,-10.1,CCOc1ccccc1C(=O)NCC(=O)Nc1cccc(-c2nncn2C)c1
pubchem_548,-10.1,COc1ccc(CNC(=O)Cc2n[nH]c(CNc3ccc(Cl)cc3)n2)cc1
pubchem_764,-10.1,COc1ccc(-n2nnnc2CNC(=O)COc2ccc(C)cc2)cc1
pubchem_1263,-10.1,Cc1ccc(OCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)c(C)c1
pubchem_1455,-10.1,Cc1nc(-c2cccc(NC(=O)Cc3ccc(OC(C)C)cc3)c2)n[nH]1
pubchem_1921,-10.1,COc1ccccc1-n1c(C)nnc1SCC(=O)NCc1ccc(F)cc1
pubchem_1946,-10.1,COc1ccccc1-c1nc(NC(=O)Cn2c(=O)oc3ccccc32)n[nH]1
pubchem_332,-10.09,Cc1cccc(OCC(=O)NCc2nnnn2-c2cccc(F)c2)c1
pubchem_470,-10.09,CCc1ccc(NC(=O)CSc2n[nH]c(COc3ccc(C)cc3)n2)cc1
pubchem_895,-10.09,COc1ccccc1NC(=O)NCCc1n[nH]c(Cc2ccc(C)cc2)n1
pubchem_1253,-10.09,COc1ccc(C)cc1NC(=O)Cc1n[nH]c(Cc2ccccc2)n1
pubchem_128,-10.08,COc1ccccc1N(CCC#N)C(=O)CSc1n[nH]c(-c2ccccc2)n1
pubchem_1426,-10.08,COc1cccc(CCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_247,-10.07,COc1ccccc1NC(=O)CSc1nnc(Cc2ccccc2)n1C
pubchem_656,-10.07,Cc1nc(C(=O)N(C)CCOc2ccc(F)cc2)nn1-c1ccccc1C(C)C
pubchem_818,-10.07,C=CCn1c(SCC(=O)Nc2ccccc2OCC)nnc1C1CCCC1
pubchem_884,-10.07,CCc1ccc(OCC(=O)Nc2cccc(-c3nncn3C)c2)cc1
pubchem_1061,-10.07,COc1ccccc1NC(=O)CCc1nnc(CCC(C)C)n1C1CC1
pubchem_53,-10.06,COc1ccccc1NC(=O)CSc1nnc(CNc2ccc(C)cc2)n1C
pubchem_72,-10.06,Cc1ccc(OCC(=O)Nc2ccc(CSc3n[nH]c(C)n3)cc2)cc1
pubchem_266,-10.06,CC(C)c1ccccc1NC(=O)CSc1n[nH]c(COc2ccccc2)n1
pubchem_329,-10.06,CCOc1ccccc1N1CCN(Cc2nc(-c3ccccc3OC)no2)CC1
pubchem_541,-10.06,COc1ccccc1NC(=O)Cc1noc(CN(C)Cc2ccccc2)n1
pubchem_1671,-10.06,Cc1nnc(-c2cccc(NC(=O)COc3cccc(C(F)(F)F)c3)c2)n1C
pubchem_2039,-10.06,COc1ccc(C)cc1NC(=O)CNc1cccc(-n2nnnc2C)c1
pubchem_189,-10.05,COc1ccccc1N1CC[NH+](Cc2nnnn2CCc2ccccc2)CC1
pubchem_222,-10.05,Cc1cccc(OCCCNC(=O)c2nc(C)n(-c3ccccc3Cl)n2)c1
pubchem_316,-10.05,Cc1ccccc1OCc1nc(SCC(=O)Nc2ccccc2)n[nH]1
pubchem_659,-10.05,CCCCN(C)c1ccc(C(=O)NCc2nc(-c3ccc(OC)cc3)n[nH]2)cc1
pubchem_918,-10.05,CCOc1ccccc1NC(=O)NCc1nnnn1-c1ccccc1
pubchem_1041,-10.05,C/N=C(/NCCOc1ccc(C)cc1)NCc1nncn1-c1ccccc1
pubchem_1348,-10.05,CC(C)c1nc(C(=O)Nc2ccc(OCCN)cc2)nn1-c1ccccc1F
pubchem_1915,-10.05,CCc1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)cc1
pubchem_1942,-10.05,Cc1ccc(C)c(OCc2nc(CC(=O)NNc3ccccc3)n[nH]2)c1
pubchem_244,-10.04,CCOc1ccccc1NC(=O)CSc1nnc(-c2ccc(C)cc2)n1C
pubchem_413,-10.04,CCn1cnnc1-c1cccc(NC(=O)COc2cccc(C)c2)c1
pubchem_769,-10.04,COc1ccc(OCC(=O)NCc2nnnn2-c2ccc(C)cc2)cc1
pubchem_1927,-10.04,Cc1cccc(NC(=O)CSc2n[nH]c(COc3ccc(C(C)C)cc3)n2)c1
pubchem_80,-10.03,COc1ccccc1NC(=O)NCc1nnnn1-c1ccc(C)cc1
pubchem_99,-10.03,CCOc1ccccc1N1CCN(Cc2nc(-c3ccccc3)no2)CC1
pubchem_167,-10.03,Cc1ccc(NC(=O)NCc2nnc3n2CCC3)c(OCc2ccccc2)c1
pubchem_512,-10.03,Cc1nc(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n[nH]1
pubchem_1833,-10.03,Cc1nc(-c2cccc(NC(=O)C3=Cc4ccccc4OC=C3)c2)n[nH]1
pubchem_1948,-10.03,COc1cccc(NC(=O)Cc2n[nH]c(Cc3cccc(C)c3)n2)c1
pubchem_19,-10.02,CCc1ccc(NC(=O)CSc2n[nH]c(COc3cccc(C)c3)n2)cc1
pubchem_143,-10.02,Cc1cccc(C)c1OCc1nc(SCC(=O)Nc2ccccc2)n[nH]1
pubchem_195,-10.02,CCc1nc(SCc2ccc(NC(=O)COc3ccc(C)cc3)cc2)n[nH]1
pubchem_431,-10.02,O=c1oc2ccccc2n1Cc1nc(Cc2ccccc2)n[nH]1
pubchem_832,-10.02,Cc1ccccc1-n1nc(C(=O)NCc2ccco2)nc1CCc1ccccc1
pubchem_1002,-10.02,COc1ccccc1NC(=O)c1nc(-c2cccc(C)c2)n(-c2ccccc2C)n1
pubchem_1495,-10.02,CCOc1ccccc1NC(=O)CCSc1nnc(-c2ccccc2)n1C
pubchem_1598,-10.02,CCN(C(=O)CSc1n[nH]c(COc2ccccc2)n1)c1ccccc1
pubchem_8,-10.01,COc1ccccc1NC(=O)CSc1n[nH]c(Cc2ccccc2)n1
pubchem_115,-10.01,O=C(CCCOc1ccc(F)cc1F)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_200,-10.01,Cc1cccc(OCc2nc(SCC(=O)Nc3ccccc3F)n[nH]2)c1
pubchem_423,-10.01,COc1ccc(NCc2nc(CC(=O)NCc3ccccc3Cl)n[nH]2)cc1
pubchem_632,-10.01,Cc1ccc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)cc1C
pubchem_862,-10.01,CCOc1ccccc1NC(=O)CSc1nnc(-c2ccccc2C)n1C
pubchem_922,-10.01,CCCN(CC(=O)Nc1ccccc1OC)Cc1nc(-c2ccc(C)cc2)no1
pubchem_1213,-10.01,CCOc1ccccc1NC(=O)CSc1n[nH]c(-c2ccc(CC)cc2)n1
pubchem_1303,-10.01,Cc1cccc(OCCCCC(=O)Nc2ccc(-c3n[nH]c(CN)n3)cc2)c1
pubchem_1866,-10.01,CCOc1ccccc1NC(=S)NCc1nc(-c2ccccc2C)no1
pubchem_116,-10.0,Cc1nc(-c2cccc(NC(=O)NCCOc3ccc(Cl)cc3)c2)n[nH]1
pubchem_117,-10.0,Cn1cnnc1-c1cccc(NC(=O)CCOc2ccccc2F)c1
pubchem_348,-10.0,Cc1nc(-c2cccc(NC(=O)NCCOc3cccc(Cl)c3)c2)n[nH]1
pubchem_721,-10.0,O=C(CCCOc1ccccc1F)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_821,-10.0,Cc1ccc(NC(=O)CSc2n[nH]c(COc3cccc(C)c3)n2)cc1
pubchem_1096,-10.0,Cc1ccc(C)c(OCCCCC(=O)Nc2ccc(-c3n[nH]c(CN)n3)cc2)c1
pubchem_1349,-10.0,Cc1ccc(OCCC(=O)Nc2ccc(-c3n[nH]c(CN)n3)cc2)cc1C
pubchem_1784,-10.0,CCOc1ccccc1NC(=O)C(=O)NCCCn1ccnc1-c1ccccc1
pubchem_363,-9.99,CCc1ccc(OCc2nc(SCC(=O)Nc3ccccc3CC)n[nH]2)cc1
pubchem_1243,-9.99,CC(=O)Nc1ccccc1OCc1noc(C(=O)NC2CCCCC2)n1
pubchem_1991,-9.99,CCc1ccccc1OCC(=O)NCc1nncn1-c1ccccc1
pubchem_66,-9.98,CCOc1ccc(N(CC)C(=O)CSc2n[nH]c(-c3ccccc3)n2)cc1
pubchem_259,-9.98,COc1ccc(C)cc1NC(=O)Cn1nnnc1-c1ccccc1
pubchem_1202,-9.98,CCc1ccccc1NC(=O)CSc1nnc(COc2ccccc2)n1N
pubchem_1602,-9.98,COc1ccc(-n2ncn(Cc3nc(-c4ccccc4)n[nH]3)c2=O)cc1
pubchem_1788,-9.98,NCc1nc(-c2ccc(NC(=O)c3ccccc3OCC3CC3)cc2)n[nH]1
